	pIC50	APC2D1_C_C	APC2D1_C_N	APC2D1_C_O	APC2D1_C_F	APC2D1_C_Si	APC2D1_C_X	APC2D1_N_N	APC2D2_C_C	APC2D2_C_N	APC2D2_C_O	APC2D2_C_S	APC2D2_C_F	APC2D2_C_Si	APC2D2_C_X	APC2D2_N_N	APC2D2_N_O	APC2D2_N_Cl	APC2D2_N_X	APC2D2_O_O	APC2D2_F_F	APC2D2_F_X	APC2D2_X_X	APC2D3_C_C	APC2D3_C_N	APC2D3_C_O	APC2D3_C_S	APC2D3_C_F	APC2D3_C_Cl	APC2D3_C_X	APC2D3_N_N	APC2D3_N_O	APC2D3_N_F	APC2D3_N_X	APC2D4_C_C	APC2D4_C_N	APC2D4_C_O	APC2D4_C_S	APC2D4_C_F	APC2D4_C_X	APC2D4_N_N	APC2D4_N_O	APC2D5_C_C	APC2D5_C_N	APC2D5_C_O	APC2D5_C_Cl	APC2D5_C_X	APC2D5_N_N	APC2D5_N_O	APC2D5_N_F	APC2D5_N_X	APC2D5_O_O	APC2D6_C_C	APC2D6_C_N	APC2D6_C_O	APC2D6_C_F	APC2D6_C_Cl	APC2D6_C_X	APC2D6_N_N	APC2D6_N_O	APC2D6_O_O	APC2D7_C_C	APC2D7_C_N	APC2D7_C_O	APC2D7_C_F	APC2D7_C_Cl	APC2D7_C_X	APC2D7_N_N	APC2D7_N_O	APC2D7_O_O	APC2D8_C_C	APC2D8_C_N	APC2D8_C_O	APC2D8_C_S	APC2D8_C_F	APC2D8_C_Cl	APC2D8_C_X	APC2D8_N_N	APC2D8_N_O	APC2D9_C_C	APC2D9_C_N	APC2D9_C_O	APC2D9_C_S	APC2D9_C_F	APC2D9_C_X	APC2D9_N_N	APC2D9_N_O	APC2D10_C_C	APC2D10_C_N	APC2D10_C_O	APC2D10_C_F	APC2D10_C_X	APC2D10_N_N
0	6.886056647693162	24.0	9.0	0.0	0.0	0.0	0.0	0.0	33.0	13.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	18.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	24.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	17.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	7.0	0.0	0.0	0.0	0.0
1	6.045757490560675	27.0	15.0	0.0	0.0	0.0	0.0	0.0	41.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	20.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	42.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	34.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	28.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	26.0	12.0	0.0	0.0	0.0	0.0
2	7.173925197299173	21.0	9.0	0.0	0.0	0.0	0.0	0.0	28.0	13.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	16.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	28.0	12.0	0.0	3.0	0.0	0.0	0.0	0.0	30.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	21.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	14.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	15.0	7.0	0.0	0.0	0.0	0.0
3	6.040958607678906	29.0	12.0	0.0	0.0	0.0	0.0	0.0	41.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	21.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	43.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	34.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	27.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	0.0	0.0	0.0	0.0
4	7.346787486224656	26.0	8.0	4.0	0.0	0.0	0.0	1.0	35.0	13.0	6.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	36.0	12.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	32.0	12.0	8.0	0.0	0.0	0.0	0.0	1.0	37.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	29.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	19.0	4.0	6.0	0.0	0.0	0.0
5	7.468521082957745	25.0	8.0	4.0	0.0	0.0	0.0	1.0	33.0	12.0	6.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	32.0	12.0	6.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	31.0	12.0	7.0	0.0	0.0	0.0	0.0	0.0	34.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	31.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	17.0	4.0	5.0	0.0	0.0	0.0
6	7.356547323513813	27.0	8.0	4.0	0.0	0.0	0.0	1.0	36.0	13.0	6.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	37.0	12.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	33.0	12.0	8.0	0.0	0.0	0.0	0.0	1.0	37.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	32.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0	4.0	5.0	0.0	0.0	0.0
7	7.327902142064282	24.0	7.0	1.0	0.0	0.0	0.0	1.0	30.0	13.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	11.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	30.0	9.0	1.0	0.0	0.0	0.0	0.0	1.0	28.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	13.0	4.0	1.0	0.0	0.0	0.0
8	7.823908740944319	25.0	7.0	1.0	0.0	0.0	0.0	1.0	31.0	14.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	11.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	32.0	9.0	2.0	0.0	0.0	0.0	0.0	1.0	29.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	1.0	0.0	0.0	0.0
9	7.619788758288393	28.0	11.0	5.0	0.0	0.0	0.0	1.0	39.0	15.0	7.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	41.0	12.0	10.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	35.0	16.0	10.0	0.0	0.0	0.0	0.0	1.0	41.0	11.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	37.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	33.0	8.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	32.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	23.0	5.0	6.0	0.0	0.0	0.0
10	7.468521082957745	26.0	8.0	3.0	0.0	0.0	0.0	1.0	33.0	14.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	12.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	35.0	9.0	3.0	0.0	0.0	0.0	0.0	2.0	32.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	7.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	18.0	4.0	3.0	0.0	0.0	0.0
11	7.552841968657781	22.0	10.0	1.0	0.0	0.0	0.0	1.0	28.0	17.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	12.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	31.0	10.0	1.0	0.0	0.0	0.0	0.0	1.0	27.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	12.0	6.0	2.0	0.0	0.0	0.0
12	7.721246399047171	22.0	10.0	0.0	0.0	0.0	0.0	1.0	28.0	17.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	31.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0
13	7.481486060122112	22.0	12.0	1.0	0.0	0.0	0.0	1.0	29.0	18.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	11.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	31.0	13.0	2.0	0.0	0.0	0.0	0.0	0.0	27.0	14.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	28.0	9.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	28.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	7.0	2.0	0.0	0.0	0.0
14	7.420216403383192	22.0	10.0	2.0	0.0	0.0	0.0	1.0	29.0	17.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	12.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	32.0	11.0	1.0	0.0	0.0	0.0	0.0	1.0	28.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	14.0	6.0	2.0	0.0	0.0	0.0
15	7.481486060122112	22.0	14.0	0.0	0.0	0.0	0.0	1.0	33.0	18.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	13.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	33.0	15.0	0.0	0.0	0.0	0.0	1.0	0.0	32.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	8.0	0.0	0.0	0.0	0.0
16	8.154901959985743	24.0	11.0	0.0	0.0	0.0	0.0	4.0	32.0	19.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	20.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	32.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	28.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	29.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	11.0	0.0	0.0	0.0	0.0
17	8.0	23.0	13.0	2.0	0.0	0.0	0.0	1.0	31.0	19.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	12.0	4.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	33.0	14.0	4.0	0.0	0.0	0.0	0.0	1.0	31.0	14.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	30.0	10.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	29.0	7.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	23.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	17.0	7.0	3.0	0.0	0.0	0.0
18	7.292429823902062	25.0	13.0	2.0	0.0	0.0	0.0	1.0	33.0	20.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	12.0	5.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	33.0	15.0	4.0	0.0	0.0	0.0	0.0	1.0	33.0	14.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	32.0	10.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	29.0	8.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	24.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	18.0	7.0	3.0	0.0	0.0	0.0
19	7.455931955649724	21.0	10.0	0.0	0.0	0.0	0.0	1.0	27.0	16.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	11.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	29.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	0.0
20	7.522878745280337	21.0	11.0	1.0	0.0	0.0	0.0	1.0	29.0	16.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	11.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	29.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	13.0	6.0	2.0	0.0	0.0	0.0
21	7.091514981121351	24.0	11.0	4.0	0.0	0.0	0.0	1.0	33.0	16.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	36.0	12.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	31.0	14.0	10.0	0.0	0.0	0.0	0.0	0.0	35.0	11.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	33.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	24.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	17.0	6.0	6.0	0.0	0.0	0.0
22	7.267606240177032	21.0	7.0	2.0	0.0	0.0	0.0	1.0	26.0	13.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	26.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	8.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	3.0	0.0	0.0	0.0
23	7.657577319177793	25.0	10.0	4.0	0.0	0.0	0.0	1.0	32.0	17.0	6.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	12.0	9.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	31.0	13.0	7.0	0.0	0.0	0.0	0.0	1.0	35.0	10.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	33.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	21.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	15.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	17.0	6.0	6.0	0.0	0.0	0.0
24	7.721246399047171	23.0	6.0	2.0	0.0	0.0	0.0	1.0	28.0	13.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	12.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	24.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	11.0	4.0	3.0	0.0	0.0	0.0
25	7.455931955649724	26.0	11.0	2.0	0.0	3.0	0.0	1.0	36.0	17.0	6.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	12.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	39.0	11.0	2.0	0.0	0.0	0.0	0.0	1.0	35.0	12.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	13.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	35.0	8.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	34.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	19.0	9.0	2.0	0.0	0.0	0.0
26	7.267606240177032	27.0	9.0	4.0	0.0	0.0	0.0	1.0	33.0	17.0	6.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	13.0	8.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	32.0	12.0	7.0	0.0	0.0	0.0	0.0	1.0	34.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	8.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	30.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	16.0	5.0	6.0	0.0	0.0	0.0	0.0	1.0	16.0	5.0	7.0	0.0	0.0	0.0
27	6.958607314841776	22.0	11.0	5.0	0.0	0.0	0.0	1.0	30.0	16.0	6.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	34.0	11.0	7.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	28.0	14.0	10.0	0.0	0.0	0.0	0.0	0.0	32.0	11.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	32.0	9.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	25.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	15.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	10.0	0.0	0.0	0.0
28	7.356547323513813	22.0	7.0	3.0	0.0	0.0	0.0	1.0	27.0	13.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	11.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.0	9.0	3.0	0.0	0.0	0.0	0.0	1.0	25.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	6.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	25.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	4.0	0.0	0.0	0.0
